date,oil_diff_target,RealInterestRate,CPI,DollarIndex,VIX,IndustryProduction,CPE,OilInventories,OPECProduction,OilProduction,TermSpread,TreasuryYield,FedFundsRate,gfc_2008_shock,gfc_2008_regime,opec_2014_shock,opec_2014_regime,covid_2020_shock,covid_2020_regime,war_2022_shock,war_2022_regime,gfc_2008_window,opec_2014_window,covid_2020_window,war_2022_window,cond_vix_gt_30,cond_termspread_inv,cond_inventory_draw,cond_opec_cut
2008-01-31,-2.640000000000001,1.82624712,210.834,88.6547,26.2,102.3446,11342.2,271917.0,33675.977,5042.0,1.5,3.67,4.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-01,1.039999999999992,1.38696881,211.445,88.4824,24.02,102.3803,11335.1,275472.0,33960.474,4998.0,1.53,3.62,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-04,-1.75,1.38696881,211.445,88.4788,25.99,102.3803,11335.1,275472.0,33960.474,4998.0,1.6,3.68,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-05,-1.1599999999999966,1.38696881,211.445,89.076,28.24,102.3803,11335.1,275472.0,33960.474,4998.0,1.68,3.61,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-06,0.9099999999999966,1.38696881,211.445,88.9987,28.97,102.3803,11335.1,275472.0,33960.474,4998.0,1.65,3.61,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-07,3.700000000000003,1.38696881,211.445,89.4221,27.66,102.3803,11335.1,275472.0,33960.474,4998.0,1.75,3.74,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-08,1.7900000000000065,1.38696881,211.445,89.2226,28.01,102.3803,11335.1,282340.0,33960.474,5013.0,1.71,3.64,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-11,-0.7400000000000091,1.38696881,211.445,89.2149,27.6,102.3803,11335.1,282340.0,33960.474,5013.0,1.69,3.62,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-12,0.4600000000000079,1.38696881,211.445,88.9539,26.33,102.3803,11335.1,282340.0,33960.474,5013.0,1.72,3.66,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-13,2.140000000000001,1.38696881,211.445,89.1382,24.88,102.3803,11335.1,282340.0,33960.474,5013.0,1.79,3.7,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-14,0.1499999999999914,1.38696881,211.445,88.9055,25.54,102.3803,11335.1,282340.0,33960.474,5013.0,1.92,3.85,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-15,4.420000000000002,1.38696881,211.445,88.9006,25.02,102.3803,11335.1,283406.0,33960.474,5044.0,1.85,3.76,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-19,0.8700000000000045,1.38696881,211.445,88.9626,25.59,102.3803,11335.1,283406.0,33960.474,5044.0,1.83,3.89,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-20,-2.2900000000000063,1.38696881,211.445,89.2572,24.4,102.3803,11335.1,283406.0,33960.474,5044.0,1.79,3.93,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-21,0.4600000000000079,1.38696881,211.445,88.716,25.12,102.3803,11335.1,283406.0,33960.474,5044.0,1.79,3.77,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-22,0.3700000000000045,1.38696881,211.445,88.7082,24.06,102.3803,11335.1,287610.0,33960.474,5034.0,1.81,3.79,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-25,1.4299999999999926,1.38696881,211.445,88.5373,23.03,102.3803,11335.1,287610.0,33960.474,5034.0,1.78,3.91,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-26,-1.2399999999999949,1.38696881,211.445,88.0998,21.9,102.3803,11335.1,287610.0,33960.474,5034.0,1.84,3.88,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-27,3.009999999999991,1.38696881,211.445,87.3353,22.69,102.3803,11335.1,287610.0,33960.474,5034.0,1.84,3.85,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-28,-0.8199999999999932,1.38696881,211.445,87.0363,23.53,102.3803,11335.1,287610.0,33960.474,5034.0,1.84,3.71,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-29,0.6400000000000006,1.38696881,211.445,87.1654,26.54,102.3803,11335.1,290841.0,33960.474,5044.0,1.88,3.53,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-03-03,-2.700000000000003,1.39949068,212.174,87.2381,26.28,102.2448,11333.2,290841.0,34323.8276,5044.0,1.93,3.54,3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
