date,oil_diff_target,RealInterestRate,CPI,DollarIndex,VIX,IndustryProduction,CPE,OilInventories,OPECProduction,OilProduction,TermSpread,TreasuryYield,FedFundsRate,oil_diff_lag1,oil_diff_lag5,oil_volatility_5,oil_volatility_20,MA_5,MA_20,MA_ratio,MA_5_gt_MA_20,oil_momentum_5,oil_momentum_20,TermSpread_inversion,vix_high,is_monday,is_friday,gfc_2008_shock,gfc_2008_regime,opec_2014_shock,opec_2014_regime,covid_2020_shock,covid_2020_regime,war_2022_shock,war_2022_regime,gfc_2008_window,opec_2014_window,covid_2020_window,war_2022_window,cond_vix_gt_30,cond_termspread_inv,cond_inventory_draw,cond_opec_cut
2008-01-31,-2.640000000000001,1.82624712,210.834,88.6547,26.2,102.3446,11342.2,271917.0,33675.977,5042.0,1.5,3.67,4.49,0.6800000000000068,2.3299999999999983,0.5756474615595907,1.359675948235656,91.406,92.637,0.986711573129527,0,1.6899999999999975,-7.969999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-01,1.039999999999992,1.38696881,211.445,88.4824,24.02,102.3803,11335.1,275472.0,33960.474,4998.0,1.53,3.62,4.24,-0.6700000000000017,0.3900000000000005,1.4452577624769916,1.4493087281437618,91.138,92.13,0.989232606100076,0,-1.3400000000000034,-10.14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-04,-1.75,1.38696881,211.445,88.4788,25.99,102.3803,11335.1,275472.0,33960.474,4998.0,1.6,3.68,4.24,-2.640000000000001,0.6199999999999903,1.5200427625563695,1.4770820274410887,90.954,91.7385,0.9914485194329532,0,-0.9200000000000016,-7.8300000000000125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-05,-1.1599999999999966,1.38696881,211.445,89.076,28.24,102.3803,11335.1,275472.0,33960.474,4998.0,1.68,3.61,4.24,1.039999999999992,0.6700000000000017,1.5647587673504173,1.401959530912284,90.286,91.4005,0.9878064124375688,0,-3.3400000000000034,-6.760000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-06,0.9099999999999966,1.38696881,211.445,88.9987,28.97,102.3803,11335.1,275472.0,33960.474,4998.0,1.65,3.61,4.24,-1.75,0.6800000000000068,1.3731096096087851,1.3544401640141717,89.25,90.937,0.981448695250558,0,-5.180000000000007,-9.27000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-07,3.700000000000003,1.38696881,211.445,89.4221,27.66,102.3803,11335.1,275472.0,33960.474,4998.0,1.75,3.74,4.24,-1.1599999999999966,-0.6700000000000017,1.6351911203281375,1.3858505843362992,88.53,90.5585,0.9776001148428916,0,-3.6000000000000085,-7.570000000000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-08,1.7900000000000065,1.38696881,211.445,89.2226,28.01,102.3803,11335.1,282340.0,33960.474,5013.0,1.71,3.64,4.24,0.9099999999999966,-2.640000000000001,2.1509463033744005,1.619889128759646,89.078,90.451,0.984820510552675,0,2.739999999999995,-2.1500000000000057,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-11,-0.7400000000000091,1.38696881,211.445,89.2149,27.6,102.3803,11335.1,282340.0,33960.474,5013.0,1.69,3.62,4.24,3.700000000000003,1.039999999999992,2.2189118955019382,1.652207136243102,89.776,90.492,0.992087698360076,0,3.490000000000009,0.8200000000000074,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-12,0.4600000000000079,1.38696881,211.445,88.9539,26.33,102.3803,11335.1,282340.0,33960.474,5013.0,1.72,3.66,4.24,1.7900000000000065,-1.75,1.97265050122925,1.624284376838645,90.676,90.4215,1.0028145960861077,1,4.5,-1.4100000000000108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-13,2.140000000000001,1.38696881,211.445,89.1382,24.88,102.3803,11335.1,282340.0,33960.474,5013.0,1.79,3.7,4.24,-0.7400000000000091,-1.1599999999999966,1.6575976592647603,1.5350243440552027,91.9,90.492,1.015559386465102,1,6.1200000000000045,1.4099999999999966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
