variable,std_beta_OLS,p_HC3,sig_OLS,sign_OLS,mean_abs_shap,rank_shap,sign_SHAP,sign_match,case
MA_ratio,-0.2868801204927532,0.1448155336985244,False,-,0.13654689723803914,1,+,False,순수 비선형 효과
OilPrice,-0.3229398019825522,0.262526707891065,False,-,0.1365336727468754,2,+,False,순수 비선형 효과
oil_diff_lag1,-0.1393509382453751,0.0489178171654412,True,-,0.10898225828749411,3,+,False,상호작용 의심
VIX,-0.0591240311798645,0.1773601518944706,False,-,0.10157577383498745,4,-,True,순수 비선형 효과
OPECProduction,-0.111335594774934,0.0774543592029459,False,-,0.09138759722405429,5,-,True,순수 비선형 효과
OilInventories,-0.0187740865125243,0.7473630572811996,False,-,0.08944572437741521,6,+,False,순수 비선형 효과
TreasuryYield,0.0671392344754007,0.2589576906471906,False,+,0.08692993878969772,7,+,True,약한 효과
RealInterestRate,-0.0596464182531089,0.090113653565667,False,-,0.0800803880597471,8,+,False,상호작용 의심
CPE,-0.2194129690270821,0.0661049994470304,False,-,0.07287020147349055,9,+,False,상호작용 의심
gfc_2008_shock,-0.1109009150605837,0.2175315865797747,False,-,0.05783557178546054,10,-,True,약한 효과
IndustryProduction,0.1044932571265105,0.1669875098686847,False,+,0.045780659536154684,11,-,False,상호작용 의심
is_friday,-0.0421223865779247,0.2547367380352924,False,-,0.02664915944887508,12,+,False,상호작용 의심
vix_high,-0.0628195441224601,0.4578723735855868,False,-,0.010261643800434199,13,-,True,약한 효과
gfc_2008_regime,0.0813008351990024,0.104975647054627,False,+,0.010084483216183004,14,+,True,약한 효과
war_2022_window,0.1114741488308094,0.2189571831195613,False,+,0.0016463533484991205,15,+,True,선형 효과 위주
covid_2020_window,-0.0963219924984289,0.2457652881466611,False,-,0.0015244277060462686,16,-,True,약한 효과
MA_5_gt_MA_20,0.1727717737633731,0.1367614140938874,False,+,0.0,17,+,True,선형 효과 위주
opec_2014_window,-0.064900532635294,0.0332845122929205,True,-,0.0,18,+,False,상호작용 의심
cond_opec_cut,-0.0733110164025004,0.0575831232698507,False,-,0.0,19,+,False,상호작용 의심
