bin,x_min,x_max,mean_x,mean_shap,mean_abs_shap,positive_ratio,negative_ratio,variable,bin_order,sign_by_bin,overall_sign
"(0.195, 0.967]",0.1962509225092251,0.9673225554068776,0.9296395865239955,0.26009726865454175,0.3264052457316925,0.7296703296703296,0.2703296703296703,MA_ratio,1,+,+
"(0.967, 0.994]",0.9673456413604694,0.9940531016924332,0.9815444795279215,-0.008594178448189637,0.07103759167991189,0.47854785478547857,0.5214521452145214,MA_ratio,2,-,+
"(0.994, 1.013]",0.9941459273226256,1.0128991029798111,1.0037036013835254,-0.06268269183461703,0.07570751169193338,0.1419141914191419,0.858085808580858,MA_ratio,3,-,+
"(1.013, 1.033]",1.012916553164442,1.0333341215603742,1.0225041106826394,-0.04252346633951035,0.06612194716872054,0.253025302530253,0.746974697469747,MA_ratio,4,-,+
"(1.033, 1.536]",1.0333417225644783,1.536027449485322,1.063875758690488,-0.09031277904031396,0.14324595514741675,0.2868131868131868,0.7131868131868132,MA_ratio,5,-,+
"(-55.291, -1.118]",-55.28999999999999,-1.1199999999999903,-2.3853736263736263,0.1961401174517994,0.23960489895266873,0.8197802197802198,0.18021978021978022,OilPrice,1,+,+
"(-1.118, -0.25]",-1.1099999999999994,-0.25,-0.635037837837838,0.03452087342916887,0.06992335567409184,0.6832432432432433,0.31675675675675674,OilPrice,2,+,+
"(-0.25, 0.36]",-0.2400000000000091,0.3599999999999994,0.06464725643896976,-0.008503506366647267,0.04618190831754091,0.41993281075027994,0.58006718924972,OilPrice,3,-,+
"(0.36, 1.12]",0.3600000000000136,1.1200000000000043,0.7185729967069154,-0.04358655659434373,0.06032891236444312,0.18880351262349068,0.8111964873765093,OilPrice,4,-,+
"(1.12, 45.89]",1.1299999999999957,45.89,2.259790748898679,-0.1650873367050469,0.2664085513689508,0.1486784140969163,0.8513215859030837,OilPrice,5,-,+
"(-55.291, -1.118]",-55.28999999999999,-1.1199999999999903,-2.3853736263736263,0.11297944703252652,0.1993954260692656,0.6,0.4,oil_diff_lag1,1,+,+
"(-1.118, -0.25]",-1.1099999999999994,-0.25,-0.635037837837838,0.03504812115547437,0.06156756536443351,0.76,0.24,oil_diff_lag1,2,+,+
"(-0.25, 0.36]",-0.2400000000000091,0.3599999999999994,0.06464725643896976,-0.0018027217917402222,0.03545146785625858,0.4748040313549832,0.5251959686450168,oil_diff_lag1,3,-,+
"(0.36, 1.12]",0.3600000000000136,1.1200000000000043,0.7185307017543859,-0.02356643837966807,0.04467890527780366,0.2807017543859649,0.7192982456140351,oil_diff_lag1,4,-,+
"(1.12, 45.89]",1.1299999999999957,45.89,2.2591179713340686,-0.11819017701663412,0.20367934987773798,0.19514884233737598,0.804851157662624,oil_diff_lag1,5,-,+
"(-18.711000000000002, -0.97]",-18.71,-0.9700000000000024,-2.1738815789473684,0.08772972036557013,0.15353862178445185,0.6820175438596491,0.31798245614035087,VIX,1,+,-
"(-0.97, -0.33]",-0.9700000000000006,-0.33,-0.6193832599118942,-4.824696231909121e-05,0.05162718840866835,0.5429515418502202,0.45704845814977973,VIX,2,-,-
"(-0.33, 0.12]",-0.3299999999999983,0.120000000000001,-0.10194961664841186,-0.016805395426410203,0.04159828157384099,0.33515881708652795,0.664841182913472,VIX,3,-,-
"(0.12, 0.87]",0.129999999999999,0.8699999999999974,0.44038716814159296,-0.03165671041896593,0.049207796362673466,0.2588495575221239,0.7411504424778761,VIX,4,-,-
"(0.87, 24.86]",0.8699999999999992,24.86,2.461010989010989,-0.05125508596011805,0.21153544450156261,0.2978021978021978,0.7021978021978021,VIX,5,-,-
"(-6008.554, -248.06]",-6008.552767865949,-248.0598882999984,-689.027263349582,-0.0386994209878753,0.13145065700051606,0.48253275109170307,0.517467248908297,OPECProduction,1,-,-
"(-248.06, -20.012]",-241.74483870968103,-20.01158719159139,-121.79539079427654,0.027672619921348257,0.06088819071460023,0.7130242825607064,0.2869757174392936,OPECProduction,2,+,-
"(-20.012, 125.995]",-14.0,125.99496476871718,54.46969228672282,0.0643385540146327,0.06979395654359362,0.940347071583514,0.0596529284164859,OPECProduction,3,+,-
"(125.995, 310.0]",130.0,310.0,207.2242720167065,-0.02045450153867381,0.07853206553876814,0.45514950166112955,0.5448504983388704,OPECProduction,4,-,-
"(310.0, 2033.711]",312.9579999999987,2033.7108529404288,589.1563830804125,-0.06484871642392086,0.11633490984796976,0.29333333333333333,0.7066666666666667,OPECProduction,5,-,-
"(-17049.001, -3832.0]",-17049.0,-3832.0,-6392.922234392114,0.021988327421882135,0.11082390447475257,0.5629791894852135,0.4370208105147864,OilInventories,1,+,+
"(-3832.0, -1071.0]",-3831.0,-1071.0,-2381.604600219058,-0.0013864570764628367,0.04378270905927392,0.5542168674698795,0.4457831325301205,OilInventories,2,-,+
"(-1071.0, 1429.0]",-1056.0,1429.0,271.5408388520971,2.4844234095899215e-05,0.050532150512502164,0.47240618101545256,0.5275938189845475,OilInventories,3,+,+
"(1429.0, 3845.0]",1442.0,3845.0,2542.630242825607,0.023862521258477817,0.06613320429772476,0.5706401766004415,0.42935982339955847,OilInventories,4,+,+
"(3845.0, 21563.0]",3848.0,21563.0,6920.929592959296,-0.03520275730830777,0.17585815085750953,0.5225522552255225,0.47744774477447743,OilInventories,5,-,+
"(-0.511, -0.04]",-0.5100000000000002,-0.04,-0.07248353715898398,-0.08880956136659333,0.14256916256480404,0.33866415804327377,0.6613358419567262,TreasuryYield,1,-,+
"(-0.04, -0.01]",-0.0399999999999999,-0.0100000000000002,-0.023190954773869347,0.005903876531395998,0.03376465122250468,0.5904522613065326,0.40954773869346733,TreasuryYield,2,+,+
"(-0.01, 0.01]",-0.01,0.0100000000000002,0.00048076923076925595,0.0313629589330631,0.0370141016323325,0.8525641025641025,0.14743589743589744,TreasuryYield,3,+,+
"(0.01, 0.04]",0.0100000000000006,0.04,0.0291318681318681,0.03115184771182128,0.03815501005954383,0.8494505494505494,0.15054945054945054,TreasuryYield,4,+,+
"(0.04, 0.29]",0.0499999999999998,0.29,0.0820071258907363,0.04132858868857517,0.17515022709644626,0.6888361045130641,0.31116389548693585,TreasuryYield,5,+,+
"(-0.657, -0.151]",-0.6562486899999999,-0.1511413800000001,-0.27902095291803275,0.08444043234523628,0.09718788547557689,0.8819672131147541,0.1180327868852459,RealInterestRate,1,+,+
"(-0.151, -0.0368]",-0.1507492399999999,-0.03683881,-0.08707755648590017,0.03970137296124786,0.05909076955957478,0.7483731019522777,0.25162689804772237,RealInterestRate,2,+,+
"(-0.0368, 0.0385]",-0.0358456499999999,0.0385070399999999,0.0034166192436040025,0.014511141508679617,0.036032501866872305,0.6540600667408232,0.3459399332591769,RealInterestRate,3,+,+
"(0.0385, 0.133]",0.03907093,0.13338102,0.08227517949945588,-0.08164803386780377,0.08650748265659623,0.09140369967355821,0.9085963003264418,RealInterestRate,4,-,+
"(0.133, 0.639]",0.13743399,0.6394341899999998,0.2855023711995515,-0.05715764028777461,0.12199924217921367,0.3217488789237668,0.6782511210762332,RealInterestRate,5,-,+
"(-1450.501, -2.4]",-1450.5,-2.399999999999636,-86.99859913793107,0.007254929017783485,0.19351279315486605,0.5646551724137931,0.4353448275862069,CPE,1,+,+
"(-2.4, 15.2]",-2.0,15.199999999998909,7.30464601769903,0.01654562845834449,0.04756961750537344,0.7079646017699115,0.2920353982300885,CPE,2,+,+
"(15.2, 31.1]",15.200000000000728,31.100000000000364,23.728871681416155,-0.0040195896038700794,0.033848908233792656,0.504424778761062,0.49557522123893805,CPE,3,-,+
"(31.1, 56.0]",31.30000000000109,56.0,43.174229074889936,-0.0029610428434104345,0.030752844357644117,0.4713656387665198,0.5286343612334802,CPE,4,-,+
"(56.0, 981.9]",56.400000000001455,981.8999999999996,140.60675526024346,-0.012807369226557492,0.055631233784383415,0.5049833887043189,0.4950166112956811,CPE,5,-,+
"(-12.847, -0.397]",-12.8459,-0.3965000000000032,-1.29001661237785,0.0011662304758686766,0.06980645933842364,0.504885993485342,0.495114006514658,IndustryProduction,1,+,-
"(-0.397, -0.0674]",-0.3870000000000004,-0.0674000000000063,-0.2340794535519124,-0.006229481279282368,0.04356580087621619,0.45792349726775955,0.5420765027322404,IndustryProduction,2,-,-
"(-0.0674, 0.228]",-0.0588999999999941,0.228200000000001,0.09795975744211768,-0.01705899360084498,0.02824262261322974,0.288864388092613,0.7111356119073869,IndustryProduction,3,-,-
"(0.228, 0.575]",0.2324000000000126,0.5746999999999929,0.38317588105726774,-0.009295126904348777,0.028475880396889353,0.3700440528634361,0.6299559471365639,IndustryProduction,4,-,-
"(0.575, 5.633]",0.5842999999999989,5.632999999999996,1.0811949776785712,0.025466923508275733,0.05863620976327525,0.6372767857142857,0.3627232142857143,IndustryProduction,5,+,-
