step,n_vars,removed,AIC,BIC,R2,Adj_R2,delta_AIC
0,34,(시작),15639.447550519058,15856.409556093604,0.05728824854083381,0.04838980335771015,0.0
1,33,gfc_2008_window,15637.469934426877,15848.233025556436,0.057282446605755766,0.04864806435152036,-1.9776160921810515
2,32,is_monday,15635.493293255739,15840.05746994031,0.05727639193192846,0.04890592704342167,-1.9766411711389082
3,31,opec_2014_regime,15633.529153499047,15831.89441573863,0.05726709678080921,0.04916037833426412,-1.9641397566920205
4,30,OilProduction,15631.562732605336,15823.729080399933,0.05725839282851508,0.049415284615773936,-1.9664208937101648
5,29,war_2022_regime,15629.62689138325,15815.59432473286,0.05724176217608057,0.04966205912731603,-1.9358412220863102
6,28,DollarIndex,15627.837571417931,15807.606090322553,0.057187149558241335,0.04987042012022325,-1.7893199653190095
7,27,oil_momentum_5,15626.171572337033,15799.741176796668,0.05710056313582201,0.050046452635591154,-1.665999080898473
8,26,oil_momentum_20,15624.517750949333,15791.888440963981,0.05701081137519115,0.0502191994903588,-1.6538213876992813
9,25,cond_inventory_draw,15623.019823637016,15784.191599206677,0.056880626663414424,0.050351137786811107,-1.497927312317188
10,24,oil_diff_lag5,15621.867098124087,15776.839959248762,0.05666089224841386,0.05039285830986506,-1.1527255129294645
11,23,opec_2014_shock,15620.76115415888,15769.535100838568,0.05642896986906387,0.05042229018652544,-1.1059439652071887
12,22,covid_2020_regime,15619.695284340114,15762.270316574815,0.056186591156065835,0.05044118578955592,-1.06586981876535
13,21,covid_2020_shock,15618.658790877664,15755.034908667378,0.05593652493265433,0.05045233877043742,-1.0364934624503803
14,20,TermSpread_inversion,15617.868613258353,15748.04581660308,0.0556224366439777,0.05039910941302628,-0.7901776193102705
15,19,war_2022_shock,15617.604838316385,15741.583127216125,0.05517150361697554,0.050208345908576923,-0.26377494196822227
