,coef,SE_HC3,t_HC3,p_HC3
opec_2014_window,-1.005994124601034,0.47260068707086306,-2.1286344944525917,0.03328451229292051
oil_diff_lag1,-0.06828954034581718,0.03467693512276065,-1.9693072673252046,0.04891781716544127
cond_opec_cut,-0.16982463942584522,0.0894351352473106,-1.898858194335341,0.057583123269850794
CPE,-0.0013963091048018455,0.0007598088552142309,-1.8377110180009038,0.06610499944703044
OPECProduction,-0.00018423968051892715,0.00010434658030670045,-1.7656513512699803,0.07745435920294595
RealInterestRate,-0.2936217726656274,0.17324878087816734,-1.6947984925337467,0.09011365356566702
gfc_2008_regime,0.49911760379607345,0.3078700271154993,1.6211958288775752,0.104975647054627
MA_5_gt_MA_20,0.34663647805073755,0.23296086770118687,1.48796010879973,0.1367614140938874
MA_ratio,-4.8744923126404425,3.343065134458649,-1.4580907390635636,0.1448155336985244
IndustryProduction,0.08299808947557598,0.060058742094167894,1.3819485154291242,0.1669875098686847
VIX,-0.029482805353484628,0.021856473673719103,-1.3489278185316629,0.17736015189447063
gfc_2008_shock,-0.864974274825285,0.7014527248284753,-1.2331184186885797,0.21753158657977478
war_2022_window,1.6439342191420165,1.3372866649301418,1.2293057743366442,0.21895718311956136
covid_2020_window,-1.4204819788706147,1.223818462201688,-1.160696641489721,0.2457652881466611
is_friday,-0.10531176060344077,0.09246637891948556,-1.1389194844013546,0.2547367380352924
TreasuryYield,1.1589378765407226,1.026646180927844,1.128858118863617,0.25895769064719065
OilPrice,-0.15822560219525061,0.14121749934607136,-1.1204390598044704,0.262526707891065
vix_high,-0.21203339043791314,0.28562269561775233,-0.7423548397627217,0.45787237358558686
OilInventories,-3.869285489795943e-06,1.2012000579877927e-05,-0.32211832359362613,0.7473630572811996
